Clade1	Clade2	Type	Count1	Universe1	Count2	Universe2	CommonCount1	CommonCount2	Intersect	CommonUniverse	PHyper	AAConvergeGeneCount	CommonAAConvergeGeneCount	CommonIntersectCount	AAConvergeAndRelaxIntenseConverge	CommonUniverseAA	PHyperAA	PHyperFDR	PHyperAAFDR
DeepseaAulopiformes	Ilyophis	Intensified	954	11583	338	8523	637	325	41	8214	0.0012186652668395	717	625	41	7	8214	0.0332156034502951	0.00379140305238957	0.0818741484228739
DeepseaAulopiformes	Macrourus_sp	Relaxed	1484	11583	289	1718	164	266	32	1593	0.180519267987406	34	29	32	3	1593	0.0188776577857498	0.276442524901756	0.0556394124211573
DeepseaAulopiformes	Macrourus_sp	Intensified	954	11583	286	1718	88	270	10	1593	0.949234376087444	34	29	10	1	1593	0.168271979679906	0.949234376087444	0.2855524503659
DeepseaAulopiformes	Pachycara	Relaxed	1484	11583	386	11613	1432	358	56	10963	0.0841005286227585	230	198	56	3	10963	0.0802456105293259	0.147175925089827	0.149791806321408
DeepseaAulopiformes	Pachycara	Intensified	954	11583	1080	11613	905	1017	106	10963	0.0060496500891017	230	198	106	4	10963	0.125133680420922	0.0169390202494848	0.226047938824891
DeepseaAulopiformes	Pseudoliparis	Relaxed	1484	11583	1307	11504	1409	1215	216	10832	2.76428101561957e-07	548	478	216	23	10832	8.09047951879781e-05	1.54799736874696e-06	0.000377555710877231
DeepseaAulopiformes	Pseudoliparis	Intensified	954	11583	2484	11504	895	2348	218	10832	0.024333422262611	548	478	218	19	10832	0.00359805911878474	0.0552604983255776	0.0111939617028858
DeepseaBeryciformes	Ilyophis	Relaxed	2329	9048	582	8523	1670	400	122	6387	0.0246698653239186	276	217	122	16	6387	3.05951420715314e-06	0.0552604983255776	2.1416599450072e-05
DeepseaBeryciformes	Ilyophis	Intensified	1981	9048	338	8523	1409	234	56	6387	0.263897628641474	276	217	56	2	6387	0.572527722643153	0.369456680098063	0.745617499256199
DeepseaBeryciformes	Macrourus_sp	Relaxed	2329	9048	289	1718	327	238	72	1405	0.00393944644258281	67	66	72	7	1405	0.047470336209777	0.0116110000412967	0.110764117822813
DeepseaBeryciformes	Macrourus_sp	Intensified	1981	9048	286	1718	224	234	61	1405	7.97852023171771e-06	67	66	61	4	1405	0.320918315401652	3.19140809268708e-05	0.449285641562313
DeepseaBeryciformes	Pachycara	Relaxed	2329	9048	386	11613	2199	217	83	8527	2.96262708987528e-05	103	83	83	5	8527	0.00124015949513735	0.000110604744688677	0.00462992878184609
DeepseaBeryciformes	Pachycara	Intensified	1981	9048	1080	11613	1904	749	174	8527	0.28119763227846	103	83	174	5	8527	0.0270350488151397	0.37493017637128	0.0720934635070393
