Clade1	Clade2	Type	Count1	Universe1	Count2	Universe2	CommonCount1	CommonCount2	Intersect	CommonUniverse	PHyper	AAConvergeGeneCount	CommonAAConvergeGeneCount	CommonIntersectCount	AAConvergeAndRelaxIntenseConverge	CommonUniverseAA	PHyperAA	PHyperFDR	PHyperAAFDR
DeepseaAulopiformes	Ilyophis	Intensified	1136	11583	518	8523	762	490	73	8214	2.35680790579444e-05	717	625	73	11	8214	0.0212979795017923	7.7636025132052e-05	0.0542130387318349
DeepseaAulopiformes	Macrourus_sp	Relaxed	2002	11583	310	1718	234	286	48	1593	0.155731055226678	34	29	48	3	1593	0.0541901458247611	0.240936987697722	0.126443673591109
DeepseaAulopiformes	Macrourus_sp	Intensified	1136	11583	296	1718	117	280	19	1593	0.692703918760007	34	29	19	1	1593	0.296073607080571	0.815750324265115	0.425131333243896
DeepseaAulopiformes	Pachycara	Relaxed	2002	11583	635	11613	1933	593	126	10963	0.0113679608078905	230	198	126	10	10963	9.2084257231429e-05	0.028936627510994	0.000429726533746669
DeepseaAulopiformes	Pachycara	Intensified	1136	11583	1493	11613	1076	1413	155	10963	0.0663251112857141	230	198	155	5	10963	0.149160631860425	0.132650222571428	0.269451464005929
DeepseaAulopiformes	Pseudoliparis	Relaxed	2002	11583	1469	11504	1905	1369	310	10832	1.89302698841471e-07	548	478	310	29	10832	0.000107008983923087	1.17788345945804e-06	0.00046096177689945
DeepseaAulopiformes	Pseudoliparis	Intensified	1136	11583	2584	11504	1062	2442	260	10832	0.061179476061046	548	478	260	22	10832	0.00260565368102766	0.126890765163651	0.00740517269283855
DeepseaBeryciformes	Ilyophis	Relaxed	2346	9048	1064	8523	1681	745	221	6387	0.0160320402130979	276	217	221	23	6387	1.35089472980404e-06	0.0374080938305618	7.56501048690263e-06
DeepseaBeryciformes	Ilyophis	Intensified	1988	9048	518	8523	1415	359	75	6387	0.742915473884301	276	217	75	2	6387	0.729560725822488	0.815750324265115	0.972747634429983
DeepseaBeryciformes	Macrourus_sp	Relaxed	2346	9048	310	1718	330	252	75	1405	0.00677787190311921	67	66	75	7	1405	0.0572171118616926	0.0189780413287338	0.128166330570192
DeepseaBeryciformes	Macrourus_sp	Intensified	1988	9048	296	1718	225	242	63	1405	6.60717059465687e-06	67	66	63	4	1405	0.342911933670383	2.64286823786275e-05	0.475576282350326
DeepseaBeryciformes	Pachycara	Relaxed	2346	9048	635	11613	2215	378	139	8527	1.4530098408964e-06	103	83	139	7	8527	0.00038895002067827	7.39714100819984e-06	0.00145208007719887
DeepseaBeryciformes	Pachycara	Intensified	1988	9048	1493	11613	1910	1064	248	8527	0.234733407079843	103	83	248	5	8527	0.0936577439216082	0.337053097345415	0.183342852669004
DeepseaBeryciformes	Pseudoliparis	Relaxed	2346	9048	1469	11504	2204	968	322	8474	5.46169792062002e-08	252	173	322	14	8474	0.00609334892486508	3.82318854443402e-07	0.0162489304663069
DeepseaBeryciformes	Pseudoliparis	Intensified	1988	9048	2584	11504	1891	1845	428	8474	0.159190509728852	252	173	428	19	8474	0.001130855362931	0.240936987697722	0.00372517060730211
Ilyophis	Macrourus_sp	Relaxed	1064	8523	310	1718	121	211	22	1154	0.553495729973031	10	8	22	0	1154	1	0.67382088866282	1
Ilyophis	Macrourus_sp	Intensified	518	8523	296	1718	57	208	5	1154	0.985924475324529	10	8	5	0	1154	1	0.998786029931812	1
Ilyophis	Pachycara	Relaxed	1064	8523	635	11613	1008	436	59	8093	0.262511430021822	91	83	59	5	8093	0.000325872843161989	0.358552197102977	0.00130349137264796
Ilyophis	Pachycara	Intensified	518	8523	1493	11613	487	994	40	8093	0.998786029931812	91	83	40	0	8093	1	0.998786029931812	1
Ilyophis	Pseudoliparis	Relaxed	1064	8523	1469	11504	1021	987	152	8008	0.00516343521752012	229	165	152	14	8008	2.65039870877147e-06	0.0152185459042698	1.34929388810184e-05
Ilyophis	Pseudoliparis	Intensified	518	8523	2584	11504	485	1823	120	8008	0.154918799754487	229	165	120	5	8008	0.101551333676316	0.240936987697722	0.189562489529123
Macrourus_sp	Pachycara	Relaxed	310	1718	635	11613	281	56	10	1579	0.551801713153217	6	4	10	0	1579	1	0.67382088866282	1
Macrourus_sp	Pachycara	Intensified	296	1718	1493	11613	275	116	25	1579	0.137918459047479	6	4	25	0	1579	1	0.22715981490173	1
Macrourus_sp	Pseudoliparis	Relaxed	310	1718	1469	11504	284	160	37	1567	0.054935162690941	10	8	37	1	1567	0.174359094653879	0.118321888872796	0.305128415644289
Macrourus_sp	Pseudoliparis	Intensified	296	1718	2584	11504	275	248	51	1567	0.103427545471698	10	8	51	1	1567	0.233027617202322	0.180998204575471	0.376943579313366
Pachycara	Pseudoliparis	Relaxed	635	11613	1469	11504	591	1402	175	11081	1.56513447324061e-29	344	283	175	18	11081	5.06540678212447e-07	4.38237652507369e-28	3.15180866443301e-06
Pachycara	Pseudoliparis	Intensified	1493	11613	2584	11504	1415	2503	388	11081	2.87236428489383e-06	344	283	388	29	11081	2.0158908066823e-07	1.34043666628379e-05	1.61271264534584e-06
