V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	fdr
N1.HOG0025867	Success	OG0012777	249	0.21966234008217	-25362.259582808	-25023.44039795	-25022.687110072	0.71010864371466	1.5065757562188	2.0003078723927e-06	0.43674888682726	0.31769255816432	0.54359315484715	9.73188614794	0.019657958325581	8.9775867284882e-05	0.43674888682726	0.44296651279013	0.54359315484715	5.0318448904641	0.019657958325581	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaAulopiformes/hyphytmp/73466911/	0.479071527993179
N1.HOG0024121	Success	OG0011071	193	0.81360206939014	-14381.45821532	-14060.445871221	-14060.418074716	0.87964332697596	0.055593009910808	0	0.67951609222942	0.1557057703301	0.31292600562896	8.3941774022366	0.0075579021416201	0	0.67951609222942	0.19476738157106	0.31292600562896	6.4978728382459	0.0075579021416201	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaAulopiformes/hyphytmp/53666047/	0.939533137087378
N1.HOG0022328	Success	OG0009381	2038	0.086869366379065	-116563.76373096	-113705.51958759	-113704.05386191	1.113244825024	2.9314513537975	0.00022509394655781	0.61372594640088	0.063495498317505	0.37455424870554	8.5159114956	0.01171980489357	8.6953665500254e-05	0.61372594640088	0.046468619353885	0.37455424870554	10.853629735856	0.01171980489357	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaAulopiformes/hyphytmp/18492902/	0.26654513132946
N1.HOG0015013	Success	OG0004278	192	0.19992638169029	-12914.573640511	-12598.930330383	-12598.108874323	0.62099814959053	1.642912119114	6.5668191526549e-05	0.3162789257912	0.042627193306744	0.55501421577477	3.1105617497576	0.12870685843403	0.0025268835576957	0.3162789257912	0.14094121147625	0.55501421577477	2.0232614170612	0.12870685843403	n1	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaAulopiformes/hyphytmp/27365757/	0.452648021719826
N1.HOG0011693	Success	OG0002588	740	0.72381599070919	-55078.750819941	-53873.481070842	-53873.418637982	0.9458745129989	0.1248657208198	0.018796413601957	0.8561763652613	0.9590100632154	0.12863984318882	13.266529414146	0.015183791549886	0.023307276285511	0.8561763652613	0.96118502162907	0.12863984318882	11.534201583209	0.015183791549886	n174	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaAulopiformes/hyphytmp/13031444/	0.893812432876818
N1.HOG0004976	Success	OG0000657	368	0.090328876114546	-26317.121130313	-25738.364233822	-25736.929982518	0.68275262854861	2.8685026078383	0.0019366534017074	0.80004430679511	0.90656450324727	0.17594204852797	7.0716138500264	0.024013644676925	0.01405165750204	0.80004430679511	0.93522015415495	0.17594204852797	3.801990388558	0.024013644676925	n4	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaAulopiformes/hyphytmp/28862437/	0.273895123569316
N1.HOG0028057	Success	OG0014839	49	0.67827844419893	-2437.0805644273	-2390.5478104246	-2390.4617753093	0.78209257598731	0.17207023062019	0	0.28070709300522	0.061321777092796	0.64805123382282	1.8797669167532	0.071241673171967	0	0.28070709300522	0.11266849230566	0.64805123382282	1.6382293597523	0.071241673171967	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaAulopiformes/hyphytmp/38435275/	0.87120195377647
N1.HOG0025855	Success	OG0012765	234	0.087154353590163	-17933.224528623	-17738.510754042	-17737.047672071	0.67289907305319	2.9261639439719	0.052465696345837	0.85400937503617	0.4979350325597	0.13097586108634	7.9469137090696	0.015014763877498	0.13759586130213	0.85400937503617	0.62550066927269	0.13097586108634	4.0340635394906	0.015014763877498	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaAulopiformes/hyphytmp/97151199/	0.26720722012569
N1.HOG0024250	Success	OG0011200	600	0.0036819490255955	-47231.192933515	-46207.560511427	-46203.343327614	0.49555866850139	8.4343676259014	0	0.73742682263951	0.43326606211615	0.23314815329948	6.3791828510297	0.02942502406101	0	0.73742682263951	0.6606791918502	0.23314815329948	2.5050032695038	0.02942502406101	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaAulopiformes/hyphytmp/75285565/	0.0267385677513935
N1.HOG0022497	Success	OG0009531	554	0.99636736990321	-39431.94507086	-39043.591045593	-39043.591035229	0.99923635966465	2.0728373783641e-05	0.00083769713299848	0.58504076593945	0.30137703795677	0.40720447730692	10.204492910366	0.0077547567536247	0.00084224159155468	0.58504076593945	0.30165319714435	0.40720447730692	10.186408171587	0.0077547567536247	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaAulopiformes/hyphytmp/34666786/	1
