V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	fdr
N1.HOG0025867	Success	OG0012777	249	0.49108723994565	-25361.376254124	-25023.466704859	-25023.229633245	1.5273083276716	0.47414322733675	2.3277895407066e-06	0.43976847952187	0.32001258940965	0.54051884020931	9.4584871216921	0.019712680268823	2.4922191100458e-09	0.43976847952187	0.17548400435424	0.54051884020931	30.930046533859	0.019712680268823	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pseudoliparis/hyphytmp/99179917/	0.725966025229344
N1.HOG0024121	Success	OG0011071	193	0.16249564395998	-14380.55729279	-14060.444193842	-14059.46877051	0.13276335433972	1.9508466634179	0	0.67997292958628	0.15589383636644	0.31254975297046	8.3194519398984	0.007477317443261	0	0.67997292958628	0.78133497147734	0.31254975297046	1.3248138538495	0.007477317443261	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pseudoliparis/hyphytmp/84732655/	0.350315189198664
N1.HOG0022328	Success	OG0009381	2038	0	-115744.37818738	-113731.95548819	-113100.46238999	31.218237274528	1262.9861963968	6.777342372198e-05	0.24805043964991	0.0035317719485129	0.68830603835448	1.227502488638	0.063643521995607	7.1289236359388e-131	0.24805043964991	2.8356513768181e-77	0.68830603835448	601.34239324309	0.063643521995607	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pseudoliparis/hyphytmp/75147518/	0
N1.HOG0015013	Success	OG0004278	192	0.51315050992815	-12914.978195137	-12603.072389391	-12602.858570677	0.43808800289342	0.42763742661191	1.1079290496919e-05	0.27141231229624	0.0028360386397768	0.56515353155457	2.4180372659267	0.16343415614919	0.0067462143590334	0.27141231229624	0.076570899729359	0.56515353155457	1.4722804165083	0.16343415614919	n1	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pseudoliparis/hyphytmp/31817687/	0.746589536640121
N1.HOG0011693	Success	OG0002588	740	0.019467657247158	-55108.462888349	-53874.383894344	-53871.654388608	0.19857799733939	5.4590114714374	0.026447868499579	0.87121648815689	1	0.11241700572427	12.209097765887	0.016366506118838	0.48609538739599	0.87121648815689	1	0.11241700572427	1.6435822686834	0.016366506118838	n174	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pseudoliparis/hyphytmp/76479385/	0.0643551520032487
N1.HOG0004976	Success	OG0000657	368	0.32877300137059	-26318.205446012	-25738.235021007	-25737.758158628	0.19604087758996	0.95372475665499	0.00044247579700532	0.79906409873899	0.95071110912085	0.18175535684987	8.1015564290437	0.019180544411145	0.22001750628492	0.79906409873899	0.99014003763312	0.18175535684987	1.5070114725059	0.019180544411145	n4	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pseudoliparis/hyphytmp/99126403/	0.564512813208639
N1.HOG0025855	Success	OG0012765	234	0.047170312616805	-17932.461478199	-17738.599756485	-17736.630104894	0.21849030062881	3.9393031817308	0.041950253705863	0.77611030751953	0.34852318404144	0.20668380913238	7.0459394784043	0.017205883348082	0.50012765152724	0.77611030751953	0.79429542412244	0.20668380913238	1.5320270274439	0.017205883348082	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pseudoliparis/hyphytmp/96849178/	0.135289772212347
N1.HOG0024250	Success	OG0011200	600	0.52367421450165	-47232.00876001	-46206.427811656	-46206.224486133	0.74334009508926	0.40665104718937	0.027038906311361	0.85871284565306	0.81944237704462	0.11803924813178	7.19317225926	0.023247906215153	0.068302192394698	0.85871284565306	0.86241196600335	0.11803924813178	4.3349424554179	0.023247906215153	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pseudoliparis/hyphytmp/69156920/	0.755120100730381
N1.HOG0022497	Success	OG0009531	554	8.1833293474887e-09	-39429.634266005	-39044.201772148	-39027.586246481	2.4048251390909	33.231051332768	0.0015363657272792	0.59555700201873	0.31395617524375	0.39698899710979	9.6797633500509	0.0074540008714791	1.7140027342126e-07	0.59555700201873	0.061667734548771	0.39698899710979	234.87257552846	0.0074540008714791	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pseudoliparis/hyphytmp/31477618/	5.626472565329e-08
N1.HOG0018341	Success	OG0006257	107	0.70831339644486	-9803.302881118	-9689.5459434634	-9689.4759597499	1.4679142810893	0.13996742698146	4.1535533917056e-05	0.40624151540506	0.2342848886497	0.57595113931429	8.878344503807	0.01780734528065	3.7001203228075e-07	0.40624151540506	0.1188060684245	0.57595113931429	24.664372764652	0.01780734528065	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pseudoliparis/hyphytmp/45923994/	0.889467853498697
N1.HOG0012169	Success	OG0002798	427	0.66011285597487	-25870.431412555	-24899.087956566	-24898.991263299	1.2297721496509	0.1933865327228	0	0.44333055401052	0.011294917442159	0.50461501765385	3.4066076106999	0.052054428335631	0	0.44333055401052	0.0040317149230105	0.50461501765385	4.5147624927105	0.052054428335631	n118	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pseudoliparis/hyphytmp/62425722/	0.857006917406038
N1.HOG0008799	Success	OG0001558	38	2.8702423070848e-05	-3640.2193407188	-3606.5211350459	-3597.7701967214	9.1921587802347e-06	17.501876649029	0	0.5134438602711	0.96638946670358	0.48349597980455	9999999171.5964	0.0030601599243527	0	0.5134438602711	0.9999996857353	0.48349597980455	1.000211679678	0.0030601599243527	n209	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pseudoliparis/hyphytmp/48062315/	0.000156045687621472
N1.HOG0004656	Success	OG0000603	376	0.88406623249457	-16595.050410554	-16314.817046732	-16314.806415503	2.0184487889507	0.021262458147248	0.00097749385477903	0.93113554963028	1	0.067875112509872	157.67775195839	0.00098933785985229	8.4081281195008e-07	0.93113554963028	1	0.067875112509872	27295.247813892	0.00098933785985229	n218	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pseudoliparis/hyphytmp/21623092/	0.987503440976554
N1.HOG0027225	Success	OG0014052	38	0.27321751282873	-4122.7307344298	-4094.4454980609	-4093.8452374125	0.12437270896792	1.2005212967269	0.012626116252928	0.6541184676705	0.74334518618492	0.34474778688378	9999999171.5964	0.0011337454457235	0.58056356833714	0.6541184676705	0.96378379025856	0.34474778688378	17.527786928331	0.0011337454457235	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pseudoliparis/hyphytmp/93205416/	0.501051214344287
N1.HOG0025366	Success	OG0012289	242	0	-25197.234111086	-24535.2659861	-24499.248257125	4.8965781090056	72.035457949656	0.0029103695395922	0.47956757697824	0.19451346645377	0.44701174122424	4.7135979364507	0.073420681797524	3.8196534425424e-13	0.47956757697824	0.00032982725252887	0.44701174122424	1982.0895995275	0.073420681797524	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pseudoliparis/hyphytmp/59271372/	0
N1.HOG0023626	Success	OG0010600	654	0.0029964053015873	-36037.262417074	-35324.889755816	-35320.48492784	0.1183289427242	8.8096559527476	0	0.19669987431349	0.032149091172206	0.78617222064892	5.7133829425258	0.017127905037589	0	0.19669987431349	0.66581695559556	0.78617222064892	1.2290297283981	0.017127905037589	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pseudoliparis/hyphytmp/53629387/	0.0122890005666525
