ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	genesymbols
GO:0035725	sodium ion transmembrane transport	7/857	20/6433	0.0116701840080733	0.359082584863793	0.345853226474074	N1.HOG0002377/N1.HOG0018890/N1.HOG0001173/N1.HOG0001691/N1.HOG0020541/N1.HOG0011043/N1.HOG0009578	7	si:ch211-117c9.5/slc6a5/slc8a4b/slc12a10.3/slc12a10.2/slc6a2/scn4aa/cacna1fa
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	5/857	12/6433	0.0146343333891255	0.411049913203968	0.395905969033295	N1.HOG0021665/N1.HOG0009077/N1.HOG0023499/N1.HOG0013582/N1.HOG0005184	5	csnk1e/rnf144b/rnf19b/rnf217/axin2
GO:0031017	exocrine pancreas development	7/857	21/6433	0.0155384251563434	0.411049913203968	0.395905969033295	N1.HOG0022819/N1.HOG0017235/N1.HOG0024765/N1.HOG0020736/N1.HOG0020038/N1.HOG0020808/N1.HOG0003320	7	met/utp25/dnmt1/ddx46/ppp1r12a/polr3b/meis3
GO:0051216	cartilage development	13/857	52/6433	0.0164419965281587	0.411049913203968	0.395905969033295	N1.HOG0012733/N1.HOG0023657/N1.HOG0020782/N1.HOG0024572/N1.HOG0020736/N1.HOG0023457/N1.HOG0022030/N1.HOG0020935/N1.HOG0007132/N1.HOG0017790/N1.HOG0020025/N1.HOG0020533/N1.HOG0024632	13	fmr1/kat6a/htt/dnmt1/dlx2b/dlx2a/scfd1/mbtps1/sec23b/aldh7a1/polr1c/slc35b2/faf1/chd7
GO:0003143	embryonic heart tube morphogenesis	5/857	13/6433	0.0212219176548411	0.47159817010758	0.454223500682564	N1.HOG0023063/N1.HOG0017539/N1.HOG0021438/N1.HOG0010742/N1.HOG0016714	5	chrd/ndr2/ccdc40/foxh1/mef2cb
GO:0006487	protein N-linked glycosylation	5/857	13/6433	0.0212219176548411	0.47159817010758	0.454223500682564	N1.HOG0026142/N1.HOG0020164/N1.HOG0007965/N1.HOG0025665/N1.HOG0023249	5	mgat2/trappc11/alg9/dpagt1/zgc:154054
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	5/857	14/6433	0.0294745258149234	0.557381368239704	0.536846265199294	N1.HOG0022550/N1.HOG0021941/N1.HOG0007131/N1.HOG0013079/N1.HOG0007132	5	magoh/rbm10/fmr1/fxr1/nova2
GO:0042273	ribosomal large subunit biogenesis	5/857	14/6433	0.0294745258149234	0.557381368239704	0.536846265199294	N1.HOG0024524/N1.HOG0025645/N1.HOG0025900/N1.HOG0023167/N1.HOG0021827	5	sdad1/rpl14/gtpbp4/mrto4/noc2l
GO:0006811	monoatomic ion transport	35/857	193/6433	0.0331554613610827	0.557381368239704	0.536846265199294	N1.HOG0002378/N1.HOG0026858/N1.HOG0016859/N1.HOG0004366/N1.HOG0013399/N1.HOG0002377/N1.HOG0022982/N1.HOG0014500/N1.HOG0020737/N1.HOG0002943/N1.HOG0020728/N1.HOG0024663/N1.HOG0026034/N1.HOG0004225/N1.HOG0017718/N1.HOG0002070/N1.HOG0011334/N1.HOG0011058/N1.HOG0013251/N1.HOG0017553/N1.HOG0001608/N1.HOG0002148/N1.HOG0025201/N1.HOG0002022/N1.HOG0001173/N1.HOG0012500/N1.HOG0001691/N1.HOG0007922/N1.HOG0006494/N1.HOG0018604/N1.HOG0002657/N1.HOG0019902/N1.HOG0006759/N1.HOG0017338/N1.HOG0009578	35	tmem63c/tmem120aa/mfsd4b/kcnh4a/trpc4b/glra3/cacna1sb/atp5pb/trpa1b/slc9a8/slc30a9/abcb8/slc24a4a/gabra4/clcn7/slc9a7/kcnf1a/slc8a4b/cacna1fb/grik1b/kcng2/slc12a10.3/slc12a10.2/tpcn1/chrnb4/atp2a3/cacna2d2b/kcnk5a/ryr1b/cnga1b/scn4aa/tpcn2/kctd4/cacna1fa/kcna6a/slc12a5b
GO:0001707	mesoderm formation	4/857	10/6433	0.0338305099063999	0.557381368239704	0.536846265199294	N1.HOG0013531/N1.HOG0023063/N1.HOG0017539/N1.HOG0006799	4	wnt8a/ndr2/foxh1/eomesb
