ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	genesymbols
GO:0015031	protein transport	30/703	178/6424	0.010159683645621	0.296975368102769	0.284635671367197	N1.HOG0011123/N1.HOG0024524/N1.HOG0012733/N1.HOG0018802/N1.HOG0023168/N1.HOG0009798/N1.HOG0006596/N1.HOG0017589/N1.HOG0020290/N1.HOG0026051/N1.HOG0022266/N1.HOG0022348/N1.HOG0022428/N1.HOG0022459/N1.HOG0019337/N1.HOG0009247/N1.HOG0021430/N1.HOG0023386/N1.HOG0014645/N1.HOG0018219/N1.HOG0006341/N1.HOG0020470/N1.HOG0019286/N1.HOG0014562/N1.HOG0007066/N1.HOG0006575/N1.HOG0012252/N1.HOG0020400/N1.HOG0019474/N1.HOG0010359	30	sec24a/ipo13b/arfgef1/mon2/sec22ba/sec31a/sdad1/cse1l/nup88/gdi2/gosr2/sec23b/ktn1/nup155/vps28/arcn1b/kpna7/chmp6b/myo6b/dop1a/snf8/cog3/slc15a2/nup188/exoc4/tnpo1/sec16a/stxbp5l/napbb/hook1
GO:0008152	metabolic process	11/703	49/6424	0.0148622563866371	0.403404101923006	0.386642158629806	N1.HOG0002668/N1.HOG0002679/N1.HOG0026760/N1.HOG0013967/N1.HOG0019046/N1.HOG0023193/N1.HOG0010356/N1.HOG0020144/N1.HOG0024541/N1.HOG0025330/N1.HOG0009346	11	hyal3/nthl1/ganabb/si:dkey-183c6.8/alkbh8/papss1/man2a1/si:ch211-282j22.3/man1a1/pfkmb/pfkla
GO:0051321	meiotic cell cycle	6/703	20/6424	0.0169727865017629	0.404149675628907	0.387356752818842	N1.HOG0020473/N1.HOG0018422/N1.HOG0019399/N1.HOG0024361/N1.HOG0025861/N1.HOG0025178	6	smc3/tubgcp2/trip13/tdrd1/tubgcp3/blm
GO:1990573	potassium ion import across plasma membrane	4/703	10/6424	0.0173980602437169	0.404149675628907	0.387356752818842	N1.HOG0002310/N1.HOG0012111/N1.HOG0002022/N1.HOG0026480	4	kcnj9/atp1a1a.5/kcnj2b/atp1a1a.2/atp1a1a.3/atp1a1a.4/slc12a5b
GO:0007030	Golgi organization	7/703	26/6424	0.0186673345178941	0.404149675628907	0.387356752818842	N1.HOG0007812/N1.HOG0006976/N1.HOG0019593/N1.HOG0021429/N1.HOG0022459/N1.HOG0007808/N1.HOG0023200	7	atp8b1/atp8b5a/clasp2/nsfl1c/cog3/atp8b4/atp8b5b/golga2
GO:0006606	protein import into nucleus	8/703	32/6424	0.0191439320034746	0.404149675628907	0.387356752818842	N1.HOG0012686/N1.HOG0026051/N1.HOG0022266/N1.HOG0022348/N1.HOG0021430/N1.HOG0007066/N1.HOG0012252/N1.HOG0020400	8	ipo13b/cse1l/nup88/nup155/kpna7/tprb/nup188/tnpo1
GO:0007605	sensory perception of sound	4/703	11/6424	0.0250163600484768	0.489613646238395	0.46926958891547	N1.HOG0011123/N1.HOG0021528/N1.HOG0022038/N1.HOG0011428	4	adgrv1/myo6b/tmie/slc26a2
GO:0051216	cartilage development	11/703	53/6424	0.0260370693167895	0.489613646238395	0.46926958891547	N1.HOG0012957/N1.HOG0012733/N1.HOG0013606/N1.HOG0023657/N1.HOG0020782/N1.HOG0024244/N1.HOG0012008/N1.HOG0020736/N1.HOG0002026/N1.HOG0010503/N1.HOG0024632	11	htt/dnmt1/cnbpa/sec23b/kif5bb/aldh7a1/mbtps2/polr1c/unc45a/tapt1a/kif5aa/mmp14b
GO:0031290	retinal ganglion cell axon guidance	6/703	22/6424	0.0270575962394902	0.489613646238395	0.46926958891547	N1.HOG0019898/N1.HOG0018110/N1.HOG0010701/N1.HOG0022480/N1.HOG0024158/N1.HOG0023164	6	mmp2/mycbp2/cpsf1/ahi1/top2b/rb1
GO:0006310	DNA recombination	5/703	17/6424	0.0312652052549214	0.523221479765817	0.501480975066407	N1.HOG0021829/N1.HOG0014774/N1.HOG0025117/N1.HOG0021393/N1.HOG0025861	5	rag2/ruvbl1/xrcc5/eme1/blm
GO:0006816	calcium ion transport	7/703	29/6424	0.0332251086053663	0.523221479765817	0.501480975066407	N1.HOG0002069/N1.HOG0001678/N1.HOG0002070/N1.HOG0011058/N1.HOG0001608/N1.HOG0024855/N1.HOG0011057	7	atp2a1l/cacna2d2a/slc8a3/atp2a3/cacna2d2b/ryr1b/letm1
GO:1902476	chloride transmembrane transport	4/703	12/6424	0.0343497573650287	0.523221479765817	0.501480975066407	N1.HOG0025267/N1.HOG0002656/N1.HOG0002022/N1.HOG0006761	4	glra1/pacc1/gabra6b/slc12a5b
GO:0035725	sodium ion transmembrane transport	5/703	18/6424	0.0395108735088748	0.523221479765817	0.501480975066407	N1.HOG0001678/N1.HOG0018890/N1.HOG0001173/N1.HOG0020541/N1.HOG0011043	5	si:ch211-117c9.5/slc6a5/slc8a3/slc6a2/scn4aa
GO:0060041	retina development in camera-type eye	12/703	64/6424	0.0424984444545586	0.523221479765817	0.501480975066407	N1.HOG0011123/N1.HOG0024344/N1.HOG0019403/N1.HOG0023168/N1.HOG0019898/N1.HOG0014854/N1.HOG0002022/N1.HOG0003901/N1.HOG0017065/N1.HOG0014839/N1.HOG0019687/N1.HOG0018399	12	smarca5/cdh2/egr1/mmp2/lamb2/prpf31/vps28/prpf3/fat1a/myo6b/fat1b/slitrk2/slc12a5b
GO:0006289	nucleotide-excision repair	4/703	13/6424	0.0454376548217683	0.523221479765817	0.501480975066407	N1.HOG0021180/N1.HOG0022346/N1.HOG0020144/N1.HOG0011450	4	cetn2/nthl1/ercc2/ercc5
GO:0007346	regulation of mitotic cell cycle	4/703	13/6424	0.0454376548217683	0.523221479765817	0.501480975066407	N1.HOG0023492/N1.HOG0009014/N1.HOG0018847/N1.HOG0022864	4	cdkn1d/cdk5rap3/cks2/afap1l2
GO:0016197	endosomal transport	4/703	13/6424	0.0454376548217683	0.523221479765817	0.501480975066407	N1.HOG0022296/N1.HOG0021466/N1.HOG0020775/N1.HOG0019577	4	clec16a/kiaa1109/reps1/eps15
GO:0030239	myofibril assembly	4/703	13/6424	0.0454376548217683	0.523221479765817	0.501480975066407	N1.HOG0005601/N1.HOG0014145/N1.HOG0010504/N1.HOG0024079	4	lmod3/plecb/unc45b/smyd1b
GO:0031047	RNA-mediated gene silencing	4/703	13/6424	0.0454376548217683	0.523221479765817	0.501480975066407	N1.HOG0020473/N1.HOG0002886/N1.HOG0024487/N1.HOG0018670	4	snd1/tdrd1/prkra/ago2
GO:0048484	enteric nervous system development	4/703	13/6424	0.0454376548217683	0.523221479765817	0.501480975066407	N1.HOG0006896/N1.HOG0020692/N1.HOG0022826/N1.HOG0003320	4	ret/sema3c/mapk10/meis3
GO:0048884	neuromast development	4/703	13/6424	0.0454376548217683	0.523221479765817	0.501480975066407	N1.HOG0021528/N1.HOG0020782/N1.HOG0010701/N1.HOG0011428	4	htt/tmie/slc26a2/top2b
GO:0051301	cell division	15/703	87/6424	0.0489635160099444	0.547239296581731	0.524500821654513	N1.HOG0019773/N1.HOG0006976/N1.HOG0024933/N1.HOG0013579/N1.HOG0009014/N1.HOG0024084/N1.HOG0018422/N1.HOG0025705/N1.HOG0010273/N1.HOG0018883/N1.HOG0011408/N1.HOG0018723/N1.HOG0011700/N1.HOG0024798/N1.HOG0021742	15	smc3/zgc:63587/rae1/cdc6/clasp2/klhl21/cdc20/rab11fip4a/katnal1/cdc40/cdca5/cks2/nusap1/spdl1/spartb
GO:0000226	microtubule cytoskeleton organization	8/703	39/6424	0.0568661493402985	0.598554581603859	0.573683892617549	N1.HOG0005801/N1.HOG0006976/N1.HOG0019399/N1.HOG0002792/N1.HOG0018883/N1.HOG0019029/N1.HOG0006853/N1.HOG0025178	8	eml3/racgap1/tubgcp2/clasp2/crmp1/map1b/tubgcp3/nusap1
GO:0006270	DNA replication initiation	4/703	14/6424	0.0582803145245863	0.598554581603859	0.573683892617549	N1.HOG0023399/N1.HOG0024815/N1.HOG0021523/N1.HOG0021742	4	mcm7/mcm5/mcm4/cdc6
GO:0032465	regulation of cytokinesis	4/703	14/6424	0.0582803145245863	0.598554581603859	0.573683892617549	N1.HOG0013579/N1.HOG0024084/N1.HOG0017787/N1.HOG0024401	4	plk3/klhl21/rab11fip4a/birc6
