Pachycara	Pachycara_angeloi,Pachycara_sp
Pseudoliparis	Pseudoliparis_sp_PHS,Pseudoliparis_sp_YHS,Pseudoliparis_swirei_MHS,Pseudoliparis_sp_DHS
Bassozetus	Bassozetus_sp,Bassozetus_sp2
DeepseaBeryciformes	Acanthochaenus_luetkenii,Cetomimus_sp,Rondeletia_loricata
Anoplogaster	Anoplogaster_cornuta
Macrourus	Macrourus_sp
DeepseaAulopiformes	Ipnops_sp,Bathypterois_sp,Bathysaurus_mollis
Ilyophis	Ilyophis_brunneus,Ilyophis_sp
NonDeepSea	Ophthalmolycus_amberensis,Lycodopsis_pacificus,Pholis_gunnellus,Pholis_nebulosa,Dictyosoma_tongyeongensis,Anarrhichthys_ocellatus,Gasterosteus_aculeatus,Pungitius_pungitius,Liparis_tanakae,Cottus_gobio,Taurulus_bubalis,Ophiodon_elongatus,Cyclopterus_lumpus,Anoplopoma_fimbria,Lophius_piscatorius,Antennarius_maculatus,Sebastes_norvegicus,Trematomus_loennbergii,Dissostichus_mawsoni,Takifugu_rubripes_,Hippoglossus_hippoglossus,Hippoglossus_stenolepis,Reinhardtius_hippoglossoides,Verasper_variegatus,Paralichthys_olivaceus,Scophthalmus_maximus,Cynoglossus_semilaevis,Solea_senegalensis,Macropodus_opercularis,Oryzias_latipes,Oryzias_melastigma,Gouania_willdenowi,Thunnus_albacares,Thunnus_maccoyii,Lepturacanthus_savala,Corythoichthys_intestinalis,Thalassophryne_amazonica,Brotula_multibarbata,Lucifuga_dentata,Beryx_spledens,Myripristis_murdjan,Gephyroberyx_darwinii,Hplostethus_atlanticus,Monocentris_japonicus,Diretmoides_pauciradiatus,Diretmus_argenteus,Lampris_megalopsis,Regalecus_glesne,Coryphaenoides_rudis,Corphaenoides_rupestris,Malacocephalus_occidentalis,Merluccius_capensis,Merluccius_polli,Merluccius_merluccius,Melanonus_zugmayeri,Muraenolepis_marmoratus,Mora_moro,Bathygadus_melanobranchus,Trachyrincus_murrayi,Trachyrincus_scabrus,Gadus_chalcogrammus,Gadus_morhua,Arctogadus_glacialis,Boreogadus_saida,merlangius_merlangus,Pollachius_virens,Gadiculus_argenteus,Trisopterus_minutus,Molva_molva_Brosme_brosme,Phycis_blennoides,Bregmaceros_cantori,Stylephorus_chordatus,Zeus_faber,Benthosema_glaciale,Electrona_antarctica,Parasudis_fraserbrunneri,Harpadon_nehereus,Guentherus_altivela,Borostomias_antarcticus,Thaleichthys_pacificus,Salmo_salar,Chanos_chanos,Danio_rerio,Clupea_harengus,Scleropages_formosus,Megalops_cyprinoides,Anguilla_anguilla,Anguilla_rostrata,Anguilla_megastoma,Anguilla_obscura
root	*Pachycara,*Pseudoliparis,*Bassozetus,*DeepseaBeryciformes,*Anoplogaster,*Macrourus,*DeepseaAulopiformes,*Ilyophis,*NonDeepSea
